case,step,burnup_MWd_kgHM_global,ANA_KEFF,CONVERSION_RATIO,reactivity_pcm
M70-25,12,6.0,1.07473,0.683173,6953.3743358797055
M70-25,13,7.0,1.07047,0.687257,6583.089670892228
M70-25,14,8.0,1.06528,0.690869,6127.966356263142
M70-25,15,10.0,1.0567,0.697574,5365.761332450078
M70-25,16,12.0,1.04883,0.704414,4655.663930284215
M70-25,17,14.0,1.04026,0.711643,3870.1862995789484
M70-25,18,16.0,1.03193,0.718557,3094.2021261132068
M70-25,19,18.0,1.02445,0.725363,2386.6464932402832
M70-25,20,20.0,1.01669,0.732145,1641.6016681584447
M70-25,21,24.0,1.00188,0.745153,187.6472232203561
M70-25,22,28.0,0.98763,0.758445,-1252.493342648562
M70-25,23,34.0,0.967296,0.777575,-3380.9712849014113
M70-25,24,42.0,0.941699,0.802098,-6191.044059726096
M70-25,25,50.0,0.917965,0.824372,-8936.615230428171
M70-30,0,0.0,1.13197,0.648554,11658.43617763721
M70-30,1,0.1,1.11167,0.658475,10045.247240637955
M70-30,2,0.4,1.10726,0.660836,9686.975055542503
M70-30,3,0.7,1.10412,0.662767,9430.134405680541
M70-30,4,1.0,1.10073,0.665116,9151.19965840851
M70-30,5,1.3,1.09856,0.666485,8971.744829595105
M70-30,6,1.6,1.09592,0.668297,8752.463683480546
M70-30,7,2.0,1.09308,0.670333,8515.387711786881
M70-30,8,2.5,1.09004,0.672434,8260.247330373188
M70-30,9,3.0,1.08691,0.674586,7996.06223146351
M70-30,10,4.0,1.08199,0.678543,7577.704045323895
M70-30,11,5.0,1.07691,0.68234,7141.72957814488
M70-30,12,6.0,1.07201,0.686298,6717.288084999198
M70-30,13,7.0,1.06767,0.689858,6338.100724006472
M70-30,14,8.0,1.06301,0.693821,5927.50773746249
M70-30,15,10.0,1.05439,0.700334,5158.432837944209
M70-30,16,12.0,1.04586,0.707568,4384.9081138966985
M70-30,17,14.0,1.0378,0.715038,3642.3202929273516
M70-30,18,16.0,1.03012,0.72131,2923.931192482422
M70-30,19,18.0,1.02249,0.728274,2199.5325137654063
M70-30,20,20.0,1.01471,0.735232,1449.6752766800369
M70-30,21,24.0,0.999751,0.748467,-24.906201644214885
M70-30,22,28.0,0.985769,0.761549,-1443.6445049499418
M70-30,23,34.0,0.965517,0.780695,-3571.454464292192
M70-30,24,42.0,0.94065,0.804329,-6309.4668580237085
M70-30,25,50.0,0.917392,0.826969,-9004.656678933326
M70-5,0,0.0,1.15423,0.620844,13362.154856484414
M70-5,1,0.1,1.13265,0.630906,11711.47309407142
M70-5,2,0.4,1.12875,0.633777,11406.423034330004
M70-5,3,0.7,1.1252,0.635822,11126.910771418414
M70-5,4,1.0,1.12258,0.63706,10919.489034189093
M70-5,5,1.3,1.11986,0.639134,10703.123604736313
M70-5,6,1.6,1.11762,0.640403,10524.149532041307
M70-5,7,2.0,1.11443,0.642274,10268.029396193571
M70-5,8,2.5,1.11083,0.645094,9977.224237732145
M70-5,9,3.0,1.10825,0.64714,9767.65170313557
M70-5,10,4.0,1.10275,0.650577,9317.615053275893
