case,material,step,isotope,adens_atoms_per_barn_cm
M43-10,M43-10,18,Am241,1.10231e-05
M43-10,M43-10,19,Am241,1.10878e-05
M43-10,M43-10,20,Am241,1.11481e-05
M43-10,M43-10,21,Am241,1.1252e-05
M43-10,M43-10,22,Am241,1.13252e-05
M43-10,M43-10,23,Am241,1.13614e-05
M43-10,M43-10,24,Am241,1.12543e-05
M43-10,M43-10,25,Am241,1.09604e-05
M43-10,M43-10,0,Am243,0.0
M43-10,M43-10,1,Am243,6.94449e-08
M43-10,M43-10,2,Am243,3.05633e-07
M43-10,M43-10,3,Am243,5.40838e-07
M43-10,M43-10,4,Am243,7.74771e-07
M43-10,M43-10,5,Am243,1.00758e-06
M43-10,M43-10,6,Am243,1.23844e-06
M43-10,M43-10,7,Am243,1.54443e-06
M43-10,M43-10,8,Am243,1.92265e-06
M43-10,M43-10,9,Am243,2.29752e-06
M43-10,M43-10,10,Am243,3.03576e-06
M43-10,M43-10,11,Am243,3.75871e-06
M43-10,M43-10,12,Am243,4.46803e-06
M43-10,M43-10,13,Am243,5.16596e-06
M43-10,M43-10,14,Am243,5.84961e-06
M43-10,M43-10,15,Am243,7.17396e-06
M43-10,M43-10,16,Am243,8.45385e-06
M43-10,M43-10,17,Am243,9.692e-06
M43-10,M43-10,18,Am243,1.08893e-05
M43-10,M43-10,19,Am243,1.20507e-05
M43-10,M43-10,20,Am243,1.31744e-05
M43-10,M43-10,21,Am243,1.53426e-05
M43-10,M43-10,22,Am243,1.73937e-05
M43-10,M43-10,23,Am243,2.02996e-05
M43-10,M43-10,24,Am243,2.391e-05
M43-10,M43-10,25,Am243,2.72235e-05
M43-10,M43-10,0,Xe135,0.0
M43-10,M43-10,1,Xe135,1.62408e-08
M43-10,M43-10,2,Xe135,1.6382e-08
M43-10,M43-10,3,Xe135,1.63763e-08
M43-10,M43-10,4,Xe135,1.63731e-08
M43-10,M43-10,5,Xe135,1.63663e-08
M43-10,M43-10,6,Xe135,1.63546e-08
