case,detector,energy_group_idx,E_min_MeV,E_max_MeV,E_mid_MeV,flux,rel_err
M43-10,3,52,0.0319916,0.0448946,0.03789789024945848,7237190000000000.0,0.00037
M43-10,3,53,0.0448946,0.0630016,0.053183001338397595,7818390000000000.0,0.00038
M43-10,3,54,0.0630016,0.0884115,0.07463287451518935,8625910000000000.0,0.00035
M43-10,3,55,0.0884115,0.12407,0.10473401932991973,9683660000000000.0,0.00036
M43-10,3,56,0.12407,0.17411,0.14697560239713256,1.12007e+16,0.00036
M43-10,3,57,0.17411,0.244333,0.20625425724091126,1.32538e+16,0.00033
M43-10,3,58,0.244333,0.342878,0.2894415491493922,1.64835e+16,0.00031
M43-10,3,59,0.342878,0.481168,0.4061796665319425,1.51994e+16,0.00032
M43-10,3,60,0.481168,0.675234,0.5700008713256498,2.20004e+16,0.00035
M43-10,3,61,0.675234,0.947571,0.7998950910050643,2.57432e+16,0.00032
M43-10,3,62,0.947571,1.32975,1.1225117091816905,2.14137e+16,0.00034
M43-10,3,63,1.32975,1.86607,1.5752481018874456,2.4395e+16,0.00033
M43-10,3,64,1.86607,2.61869,2.210578849147888,2.51157e+16,0.00035
M43-10,3,65,2.61869,3.67487,3.102151724255279,2.05997e+16,0.00037
M43-10,3,66,3.67487,5.15703,4.35332227569933,1.31648e+16,0.00059
M43-10,3,67,5.15703,7.23698,6.109118018945124,6568520000000000.0,0.0008
M43-10,3,68,7.23698,10.1558,8.573057884092467,1717490000000000.0,0.00172
M43-10,3,69,10.1558,14.2519,12.030770799080164,241100000000000.0,0.00485
M43-10,3,70,14.2519,20.0,16.88306844148895,13547300000000.0,0.01995
M43-10,4,1,1e-09,1.40332e-09,1.1846180819150111e-09,2009130000000.0,0.00916
M43-10,4,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3209200000000.0,0.00749
M43-10,4,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,5619600000000.0,0.00665
M43-10,4,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,17292800000000.0,0.00326
M43-10,4,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,24501800000000.0,0.00305
M43-10,4,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,55638400000000.0,0.00182
M43-10,4,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,95185500000000.0,0.00153
M43-10,4,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,186490000000000.0,0.00127
M43-10,4,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,329424000000000.0,0.00102
M43-10,4,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,580539000000000.0,0.00079
M43-10,4,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,953226000000000.0,0.00069
M43-10,4,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1464970000000000.0,0.00058
M43-10,4,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2045490000000000.0,0.00053
M43-10,4,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,2523760000000000.0,0.00048
M43-10,4,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,2635640000000000.0,0.00044
M43-10,4,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2293720000000000.0,0.00049
