case,detector,G1,G2,G3,G4,G5,G6,G7
C001,det5,14643304500000.0,67608092000000.0,2904541150000000.0,4479431300000000.0,2.50186018e+16,4994298900000000.0,7.5754638e+16
C001,det6,14734397500000.0,67974540000000.0,2922196540000000.0,4497713500000000.0,2.51656215e+16,5030265900000000.0,7.6310233e+16
C001,det7,14791801700000.0,68410795000000.0,2942526590000000.0,4521690600000000.0,2.53398115e+16,5074489100000000.0,7.6949899e+16
C001,det8,14956857300000.0,69078249000000.0,2972913440000000.0,4552027300000000.0,2.55304046e+16,5122969100000000.0,7.7657405e+16
C001,det9,15082823800000.0,69754360000000.0,3000894150000000.0,4581518100000000.0,2.5687526e+16,5163426700000000.0,7.8256654e+16
C001,det10,15375467600000.0,71119348000000.0,3058816680000000.0,4638947800000000.0,2.59675687e+16,5232312200000000.0,7.9318508e+16
C001,det11,15671437800000.0,72467869000000.0,3117038040000000.0,4697337700000000.0,2.6207299e+16,5295205400000000.0,8.0230055e+16
C001,det12,15961520200000.0,73966429000000.0,3177438400000000.0,4757076200000000.0,2.64214497e+16,5351708000000000.0,8.103951e+16
C001,det13,16275879500000.0,75294957000000.0,3239975980000000.0,4819496300000000.0,2.66331713e+16,5402823500000000.0,8.1823011e+16
C001,det14,16547860300000.0,76810429000000.0,3303358170000000.0,4882862700000000.0,2.68227878e+16,5451098400000000.0,8.2526816e+16
C001,det15,17254387300000.0,80067031000000.0,3438623010000000.0,5015727300000000.0,2.71804702e+16,5542210000000000.0,8.3843799e+16
C001,det16,17956662700000.0,83419256000000.0,3584237130000000.0,5160337000000000.0,2.75224311e+16,5627252800000000.0,8.5068187e+16
C001,det17,18719622000000.0,87106280000000.0,3741846100000000.0,5314438600000000.0,2.78632177e+16,5708930500000000.0,8.6281213e+16
C001,det18,19533709500000.0,91017759000000.0,3912394200000000.0,5485115100000000.0,2.81898957e+16,5790242100000000.0,8.7418895e+16
C001,det19,20461355500000.0,95429982000000.0,4097883000000000.0,5666066600000000.0,2.85227625e+16,5868891100000000.0,8.8562798e+16
