case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M43-5,10,4.000000,6,2,0.003757,0.990488,-0.951196
M43-5,10,4.000000,6,3,0.003777,0.995838,-0.416227
M43-5,10,4.000000,6,4,0.004065,1.071785,7.178533
M43-5,10,4.000000,6,5,0.004211,1.110322,11.032205
M43-5,10,4.000000,7,2,0.004056,1.069323,6.932274
M43-5,10,4.000000,7,3,0.004064,1.071392,7.139248
M43-5,10,4.000000,7,5,0.004193,1.105592,10.559197
M43-5,10,4.000000,7,6,0.004069,1.072803,7.280306
M43-5,10,4.000000,7,7,0.003847,1.014407,1.440739
M43-5,10,4.000000,8,1,0.004147,1.093295,9.329481
M43-5,10,4.000000,8,2,0.003947,1.040565,4.056521
M43-5,10,4.000000,8,3,0.003935,1.037578,3.757793
M43-5,10,4.000000,8,4,0.004155,1.095491,9.549111
M43-5,10,4.000000,8,5,0.003945,1.040019,4.001943
M43-5,10,4.000000,8,6,0.003831,1.010002,1.000161
M43-5,10,4.000000,8,7,0.003796,1.000990,0.098967
M43-5,10,4.000000,8,8,0.002953,0.778584,-22.141618
M43-5,10,4.000000,9,1,0.003057,0.806004,-19.399595
M43-5,10,4.000000,9,2,0.003044,0.802707,-19.729329
M43-5,10,4.000000,9,3,0.003034,0.800039,-19.996128
M43-5,10,4.000000,9,4,0.003038,0.801029,-19.897123
M43-5,10,4.000000,9,5,0.003018,0.795622,-20.437813
M43-5,10,4.000000,9,6,0.002999,0.790729,-20.927142
M43-5,10,4.000000,9,7,0.003022,0.796871,-20.312917
M43-5,10,4.000000,9,8,0.003076,0.811105,-18.889542
M43-5,10,4.000000,9,9,0.003197,0.842837,-15.716301
M43-5,11,5.000000,2,1,0.004188,1.105354,10.535413
M43-5,11,5.000000,2,2,0.003953,1.043332,4.333216
M43-5,11,5.000000,3,1,0.004171,1.100962,10.096188
M43-5,11,5.000000,3,2,0.003966,1.046856,4.685598
