case,group,keff_threshold,valid_points,burnup_range,max_CR,keff_at_max_CR,avg_CR,Th_level,Pu_level,U235_enrichment,U233_enrichment,total_enrichment
C010,C,0.9,26,0.0 - 50.0,0.168723,1.60674,0.11522397692307693,0.5,0.5,0.0,0.0,0.0
C010,C,0.95,26,0.0 - 50.0,0.168723,1.60674,0.11522397692307693,0.5,0.5,0.0,0.0,0.0
C010,C,1.0,26,0.0 - 50.0,0.168723,1.60674,0.11522397692307693,0.5,0.5,0.0,0.0,0.0
C011,C,0.8,26,0.0 - 50.0,0.152179,1.64524,0.10342213076923076,0.45,0.55,0.0,0.0,0.0
C011,C,0.9,26,0.0 - 50.0,0.152179,1.64524,0.10342213076923076,0.45,0.55,0.0,0.0,0.0
C011,C,0.95,26,0.0 - 50.0,0.152179,1.64524,0.10342213076923076,0.45,0.55,0.0,0.0,0.0
C011,C,1.0,26,0.0 - 50.0,0.152179,1.64524,0.10342213076923076,0.45,0.55,0.0,0.0,0.0
C012,C,0.8,26,0.0 - 50.0,0.137194,1.68203,0.09250547307692308,0.4,0.6,0.0,0.0,0.0
C012,C,0.9,26,0.0 - 50.0,0.137194,1.68203,0.09250547307692308,0.4,0.6,0.0,0.0,0.0
C012,C,0.95,26,0.0 - 50.0,0.137194,1.68203,0.09250547307692308,0.4,0.6,0.0,0.0,0.0
C012,C,1.0,26,0.0 - 50.0,0.137194,1.68203,0.09250547307692308,0.4,0.6,0.0,0.0,0.0
D001,D,0.8,26,0.0 - 50.0,0.889353,0.910702,0.5494743461538462,0.7,0.04,0.02,0.0,0.02
D001,D,0.9,26,0.0 - 50.0,0.889353,0.910702,0.5494743461538462,0.7,0.04,0.02,0.0,0.02
D001,D,0.95,24,0.0 - 34.0,0.782453,0.979173,0.5231231666666667,0.7,0.04,0.02,0.0,0.02
D001,D,1.0,23,0.0 - 28.0,0.731777,1.01128,0.5118479565217391,0.7,0.04,0.02,0.0,0.02
D002,D,0.8,26,0.0 - 50.0,0.863559,0.9222,0.536327576923077,0.7,0.04,0.03,0.0,0.03
D002,D,0.9,26,0.0 - 50.0,0.863559,0.9222,0.536327576923077,0.7,0.04,0.03,0.0,0.03
