case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
mox43,8,2.500000,6,2,0.003792,1.000638,0.063766
mox43,8,2.500000,6,3,0.003823,1.008763,0.876276
mox43,8,2.500000,6,4,0.004033,1.064187,6.418705
mox43,8,2.500000,6,5,0.004138,1.092046,9.204565
mox43,8,2.500000,7,2,0.003961,1.045256,4.525576
mox43,8,2.500000,7,3,0.003962,1.045425,4.542465
mox43,8,2.500000,7,5,0.004064,1.072434,7.243353
mox43,8,2.500000,7,6,0.003915,1.033112,3.311166
mox43,8,2.500000,7,7,0.003664,0.966945,-3.305550
mox43,8,2.500000,8,1,0.003873,1.022137,2.213658
mox43,8,2.500000,8,2,0.003711,0.979313,-2.068709
mox43,8,2.500000,8,3,0.003712,0.979682,-2.031765
mox43,8,2.500000,8,4,0.003883,1.024622,2.462240
mox43,8,2.500000,8,5,0.003696,0.975286,-2.471401
mox43,8,2.500000,8,6,0.003579,0.944464,-5.553607
mox43,8,2.500000,8,7,0.003496,0.922503,-7.749679
mox43,8,2.500000,8,8,0.003438,0.907116,-9.288407
mox43,8,2.500000,9,1,0.003619,0.955017,-4.498321
mox43,8,2.500000,9,2,0.003614,0.953637,-4.636334
mox43,8,2.500000,9,3,0.003622,0.955869,-4.413085
mox43,8,2.500000,9,4,0.003624,0.956207,-4.379308
mox43,8,2.500000,9,5,0.003581,0.944957,-5.504260
mox43,8,2.500000,9,6,0.003518,0.928274,-7.172557
mox43,8,2.500000,9,7,0.003477,0.917434,-8.256607
mox43,8,2.500000,9,8,0.003469,0.915362,-8.463759
mox43,8,2.500000,9,9,0.003514,0.927406,-7.259376
mox43,9,3.000000,2,1,0.003978,1.049725,4.972544
mox43,9,3.000000,2,2,0.003804,1.003710,0.370950
mox43,9,3.000000,3,1,0.003975,1.048733,4.873335
mox43,9,3.000000,3,2,0.003807,1.004559,0.455911
mox43,9,3.000000,3,3,0.003822,1.008443,0.844302
mox43,9,3.000000,4,2,0.003985,1.051435,5.143521
mox43,9,3.000000,4,3,0.004006,1.057127,5.712651
mox43,9,3.000000,5,1,0.003994,1.053765,5.376503
mox43,9,3.000000,5,2,0.003818,1.007285,0.728471
mox43,9,3.000000,5,3,0.003807,1.004593,0.459341
mox43,9,3.000000,5,4,0.004029,1.062987,6.298669
mox43,9,3.000000,5,5,0.003996,1.054477,5.447743
mox43,9,3.000000,6,1,0.003963,1.045712,4.571224
mox43,9,3.000000,6,2,0.003797,1.001797,0.179657
mox43,9,3.000000,6,3,0.003823,1.008667,0.866730
mox43,9,3.000000,6,4,0.004050,1.068601,6.860147
mox43,9,3.000000,6,5,0.004142,1.092760,9.275984
mox43,9,3.000000,7,2,0.003943,1.040493,4.049323
mox43,9,3.000000,7,3,0.003959,1.044617,4.461725
mox43,9,3.000000,7,5,0.004049,1.068467,6.846691
mox43,9,3.000000,7,6,0.003918,1.033831,3.383094
mox43,9,3.000000,7,7,0.003669,0.967960,-3.203992
mox43,9,3.000000,8,1,0.003880,1.023868,2.386786
mox43,9,3.000000,8,2,0.003706,0.977886,-2.211378
mox43,9,3.000000,8,3,0.003724,0.982461,-1.753857
mox43,9,3.000000,8,4,0.003875,1.022390,2.239028
mox43,9,3.000000,8,5,0.003699,0.975873,-2.412698
mox43,9,3.000000,8,6,0.003582,0.945137,-5.486320
mox43,9,3.000000,8,7,0.003493,0.921646,-7.835402
mox43,9,3.000000,8,8,0.003441,0.908036,-9.196355
mox43,9,3.000000,9,1,0.003612,0.953034,-4.696608
mox43,9,3.000000,9,2,0.003609,0.952377,-4.762307
mox43,9,3.000000,9,3,0.003605,0.951084,-4.891595
mox43,9,3.000000,9,4,0.003614,0.953480,-4.652017
mox43,9,3.000000,9,5,0.003586,0.946110,-5.388958
mox43,9,3.000000,9,6,0.003522,0.929377,-7.062313
mox43,9,3.000000,9,7,0.003517,0.927857,-7.214292
mox43,9,3.000000,9,8,0.003478,0.917804,-8.219572
mox43,9,3.000000,9,9,0.003532,0.931833,-6.816666
mox43,10,4.000000,2,1,0.003978,1.048537,4.853709
mox43,10,4.000000,2,2,0.003803,1.002539,0.253868
mox43,10,4.000000,3,1,0.003966,1.045540,4.553995
mox43,10,4.000000,3,2,0.003812,1.004821,0.482147
mox43,10,4.000000,3,3,0.003827,1.008847,0.884666
mox43,10,4.000000,4,2,0.003987,1.050846,5.084624
